createdAt,side,liquidity,type,market,price,size,fee
"2023-07-27T15:21:22.104Z","SELL","TAKER","MARKET","SOL-USD","25.278","483.1","4.640484"
"2023-07-27T15:21:22.104Z","SELL","TAKER","MARKET","SOL-USD","25.278","108.1","1.038369"
"2023-07-27T15:21:22.104Z","SELL","TAKER","MARKET","SOL-USD","25.279","233.7","2.244926"
"2023-07-27T15:21:22.104Z","SELL","TAKER","MARKET","SOL-USD","25.279","395.4","3.79822"
"2023-07-27T15:21:22.104Z","SELL","TAKER","MARKET","SOL-USD","25.28","195.9","1.881893"
"2023-07-27T15:21:22.104Z","SELL","TAKER","MARKET","SOL-USD","25.28","11.8","0.113355"
"2023-07-27T15:21:22.104Z","SELL","TAKER","MARKET","SOL-USD","25.28","11.9","0.114316"
"2023-07-27T15:21:22.104Z","SELL","TAKER","MARKET","SOL-USD","25.281","98","0.941464"
"2023-07-27T15:21:22.104Z","SELL","TAKER","MARKET","SOL-USD","25.281","403.2","3.873453"
"2023-07-27T15:21:22.104Z","SELL","TAKER","MARKET","SOL-USD","25.281","98","0.941464"
"2023-07-27T15:21:22.104Z","SELL","TAKER","MARKET","SOL-USD","25.283","213.8","2.054092"
"2023-07-27T15:21:22.104Z","SELL","TAKER","MARKET","SOL-USD","25.284","59","0.566867"
"2023-07-27T15:21:22.104Z","SELL","TAKER","MARKET","SOL-USD","25.285","39.4","0.378567"
"2023-07-27T15:21:22.104Z","SELL","TAKER","MARKET","SOL-USD","25.285","484.2","4.652338"
"2023-07-27T15:21:22.104Z","SELL","TAKER","MARKET","SOL-USD","25.285","164.5","1.580565"
"2023-07-27T04:35:25.802Z","SELL","TAKER","MARKET","SOL-USD","25.135","1187","11.337393"
"2023-07-27T04:35:25.802Z","SELL","TAKER","MARKET","SOL-USD","25.136","111.4","1.064057"
"2023-07-27T04:35:25.802Z","SELL","TAKER","MARKET","SOL-USD","25.137","2","0.019104"
"2023-07-27T04:35:25.802Z","SELL","TAKER","MARKET","SOL-USD","25.14","99","0.945766"
"2023-07-27T04:35:25.802Z","SELL","TAKER","MARKET","SOL-USD","25.14","70","0.668724"
